Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0.0,ORtg,DRtg
500,Day'Ron Sharpe\sharpda01,PF,20,BRK,32,8,391,10.7,18.5,.577,0.2,0.9,.286,10.4,17.6,.592,3.0,5.1,.585,10.0,9.8,19.8,2.1,1.2,1.9,3.7,7.4,24.5,0.0,118,111
501,Pascal Siakam\siakapa01,PF,27,TOR,68,68,2578,11.6,23.4,.494,1.5,4.2,.344,10.1,19.2,.527,5.5,7.3,.749,2.5,8.8,11.2,7.0,1.6,0.8,3.5,4.4,30.1,0.0,116,110
502,Chris Silva\silvach01,PF,25,TOT,10,0,91,4.4,8.2,.533,0.0,0.0,0.0,4.4,8.2,.533,5.5,6.6,.833,7.1,12.6,19.8,3.8,0.0,0.5,4.4,11.0,14.3,0.0,119,109
503,Marko Simonovic\simonma01,C,22,CHI,9,0,35,5.6,20.9,.267,1.4,7.0,.200,4.2,14.0,.300,11.2,15.3,.727,7.0,7.0,14.0,0.0,1.4,1.4,2.8,8.4,23.7,0.0,96,113
504,Anfernee Simons\simonan01,SG,22,POR,57,30,1681,10.3,23.2,.443,5.2,12.8,.405,5.1,10.3,.490,3.0,3.4,.888,0.8,3.6,4.4,6.4,0.9,0.2,3.3,3.2,28.7,0.0,112,121
505,Zavier Simpson\simpsza01,PG,24,OKC,4,4,174,5.3,14.6,.365,0.3,2.2,.125,5.0,12.3,.409,1.4,1.4,1.000,0.6,5.3,5.9,8.4,1.4,1.1,2.8,4.2,12.3,0.0,91,114
506,Jericho Sims\simsje01,PF,23,NYK,41,5,555,3.5,4.9,.722,0.0,0.0,0.0,3.5,4.9,.722,1.1,2.6,.414,5.5,9.7,15.2,1.9,1.0,2.0,1.8,5.9,8.1,0.0,129,109
507,Deividas Sirvydis\sirvyde01,SG,21,DET,3,0,27,1.8,18.1,.100,1.8,12.6,.143,0.0,5.4,.000,0.0,0.0,0.0,0.0,10.8,10.8,1.8,5.4,1.8,0.0,7.2,5.4,0.0,41,102
508,Javonte Smart\smartja01,PG,22,TOT,17,1,200,4.6,14.5,.317,1.9,6.5,.296,2.7,8.0,.333,1.2,1.5,.833,1.2,4.6,5.8,3.9,1.5,0.7,2.7,2.9,12.3,0.0,84,113
509,Marcus Smart\smartma01,PG,27,BOS,71,71,2296,6.5,15.5,.418,2.6,7.8,.331,3.9,7.7,.506,3.1,3.9,.793,0.9,4.9,5.8,9.0,2.6,0.4,3.4,3.5,18.6,0.0,110,107
