Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0.0,ORtg,DRtg
566,Derrick Walton\waltode01,PG,26,DET,3,3,108,2.7,11.7,.231,1.4,5.9,.231,1.4,5.9,.231,1.8,1.8,1.000,0.9,3.6,4.5,9.5,3.2,1.8,5.0,3.6,8.6,0.0,77,111
567,Brad Wanamaker\wanambr01,PG,32,TOT,23,2,320,4.3,11.8,.364,0.6,2.6,.235,3.7,9.2,.400,3.5,3.8,.920,0.9,5.1,6.0,8.4,1.1,0.9,3.5,6.9,12.7,0.0,100,118
568,Duane Washington Jr.\washidu02,PG,21,IND,48,7,968,8.8,21.6,.405,4.1,10.9,.377,4.7,10.7,.434,2.3,3.1,.754,0.2,4.0,4.2,4.3,1.3,0.2,2.9,3.3,23.9,0.0,101,119
569,P.J. Washington\washipj01,PF,23,CHO,65,28,1768,6.8,14.4,.470,3.0,8.2,.365,3.8,6.3,.606,1.6,2.2,.716,2.2,6.9,9.1,4.0,1.5,1.7,2.2,4.1,18.1,0.0,114,113
570,Yuta Watanabe\watanyu01,SF,27,TOR,38,4,445,6.3,15.5,.406,3.0,8.9,.342,3.3,6.6,.492,2.7,4.5,.600,2.0,8.3,10.3,2.4,1.2,1.8,2.1,4.3,18.3,0.0,106,110
571,Lindy Waters III\waterli01,SG,24,OKC,25,1,465,7.4,18.3,.406,5.6,15.3,.363,1.9,3.0,.621,0.4,0.5,.800,0.6,7.0,7.6,2.5,2.0,0.8,1.2,3.2,20.8,0.0,110,112
572,Tremont Waters\watertr01,PG,24,TOT,3,0,50,4.0,14.0,.286,2.0,9.0,.222,2.0,5.0,.400,0.0,0.0,0.0,0.0,4.0,4.0,7.0,5.0,0.0,4.0,4.0,10.0,0.0,76,107
573,Trendon Watford\watfotr01,SF,21,POR,48,10,869,8.0,15.0,.532,0.5,2.1,.237,7.5,12.9,.581,4.0,5.3,.755,3.2,8.0,11.2,4.6,1.4,1.6,2.5,6.5,20.5,0.0,118,116
574,Paul Watson\watsopa01,SF,27,OKC,9,3,156,3.7,10.9,.343,1.9,8.1,.231,1.9,2.8,.667,0.3,0.6,.500,0.9,7.5,8.4,2.5,0.9,0.9,1.2,3.1,9.7,0.0,91,114
575,Quinndary Weatherspoon\weathqu01,SG,25,GSW,11,0,73,8.0,14.0,.571,0.7,3.3,.200,7.3,10.7,.688,3.3,3.3,1.000,1.3,8.0,9.4,3.3,0.7,0.7,2.0,10.0,20.0,0.0,123,109
576,Russell Westbrook\westbru01,PG,33,LAL,78,78,2678,9.8,22.1,.444,1.4,4.7,.298,8.4,17.3,.485,4.8,7.1,.667,2.0,8.4,10.4,9.8,1.3,0.4,5.3,4.2,25.8,0.0,102,114
577,Coby White\whiteco01,PG,21,CHI,61,17,1675,8.1,18.8,.433,4.0,10.3,.385,4.2,8.5,.491,2.3,2.7,.857,0.5,4.8,5.3,5.1,0.8,0.3,2.0,4.0,22.5,0.0,111,117
578,Derrick White\whitede01,SG,27,TOT,75,52,2199,7.4,17.7,.421,2.5,8.1,.312,4.9,9.5,.515,4.5,5.2,.864,0.8,4.9,5.8,8.1,1.4,1.3,2.6,3.8,21.9,0.0,114,112
579,Hassan Whiteside\whiteha01,C,32,UTA,65,8,1162,9.1,14.0,.652,0.0,0.0,0.0,9.1,14.0,.652,4.4,7.1,.623,7.1,14.0,21.0,1.1,0.9,4.4,2.3,7.6,22.7,0.0,132,104
580,Joe Wieskamp\wieskjo01,SG,22,SAS,29,0,205,4.7,13.1,.357,3.3,10.1,.326,1.4,3.0,.462,1.6,3.0,.538,0.9,2.3,3.3,2.1,0.9,0.7,0.5,3.3,14.3,0.0,107,117
581,Aaron Wiggins\wiggiaa01,SG,23,OKC,50,35,1209,6.3,13.6,.463,1.7,5.6,.304,4.6,8.0,.573,2.5,3.4,.729,2.1,5.1,7.2,2.7,1.2,0.4,2.2,3.7,16.8,0.0,107,116
582,Andrew Wiggins\wiggian01,SF,26,GSW,73,73,2329,9.9,21.3,.466,3.3,8.4,.393,6.7,13.0,.513,3.1,4.9,.634,1.8,5.0,6.8,3.4,1.6,1.1,2.3,3.3,26.3,0.0,109,109
583,Lindell Wigginton\wiggili01,PG,23,MIL,19,0,199,6.3,14.7,.426,2.2,6.3,.346,4.1,8.4,.486,4.6,8.4,.543,0.7,5.3,6.0,5.6,1.2,0.2,2.9,4.1,19.3,0.0,105,114
584,Brandon Williams\willibr03,PG,22,POR,24,16,640,8.0,21.5,.372,2.4,8.1,.292,5.6,13.4,.420,5.2,7.4,.701,1.5,4.2,5.6,7.2,1.8,0.8,4.4,4.0,23.6,0.0,96,118
585,Grant Williams\willigr01,PF,23,BOS,77,21,1875,5.4,11.4,.475,2.8,6.8,.411,2.6,4.6,.569,2.3,2.5,.905,1.7,5.6,7.3,2.1,1.0,1.5,1.6,4.9,16.0,0.0,122,109
586,Kenrich Williams\willike04,SF,27,OKC,49,0,1072,6.6,14.4,.461,1.9,5.5,.339,4.8,8.9,.536,1.4,2.5,.545,3.4,6.6,10.0,4.9,2.0,0.5,2.1,3.7,16.5,0.0,111,113
587,Lou Williams\willilo02,PG,35,ATL,56,0,799,7.7,19.7,.391,2.3,6.3,.363,5.4,13.4,.404,4.1,4.8,.859,1.0,4.4,5.4,6.5,1.7,0.2,2.6,3.0,21.8,0.0,105,117
588,Patrick Williams\willipa01,PF,20,CHI,17,9,422,6.2,11.8,.529,1.7,3.4,.517,4.5,8.4,.534,3.5,4.7,.732,2.0,6.0,8.0,1.7,1.0,1.0,1.9,3.2,17.7,0.0,120,115
589,Robert Williams\williro04,C,24,BOS,61,61,1804,7.5,10.1,.736,0.0,0.0,.000,7.5,10.1,.738,1.8,2.5,.722,6.6,9.6,16.2,3.3,1.5,3.7,1.7,3.8,16.7,0.0,148,102
590,Ziaire Williams\willizi02,SF,20,MEM,62,31,1346,6.8,15.1,.450,2.7,8.6,.314,4.1,6.5,.632,1.5,2.0,.782,0.9,3.7,4.6,2.3,1.2,0.4,1.5,4.0,17.8,0.0,113,114
591,D.J. Wilson\wilsodj01,PF,25,TOR,4,1,54,10.2,13.9,.733,0.0,1.9,.000,10.2,12.0,.846,7.4,9.3,.800,0.9,13.9,14.8,4.6,4.6,0.9,1.9,5.6,27.8,0.0,149,100
592,Dylan Windler\windldy01,SF,25,CLE,50,0,459,4.0,10.7,.378,2.3,7.6,.300,1.7,3.0,.571,1.6,2.0,.833,2.3,7.4,9.7,3.7,1.5,0.3,1.7,5.1,12.0,0.0,110,110
593,Justise Winslow\winslju01,SF,25,TOT,48,11,774,7.0,16.2,.428,0.9,4.2,.227,6.0,12.1,.497,2.5,4.2,.591,3.2,9.6,12.8,5.3,2.2,1.6,3.1,4.2,17.3,0.0,100,109
594,Cassius Winston\winstca01,PG,23,WAS,7,0,39,5.1,14.0,.364,2.5,7.6,.333,2.5,6.3,.400,5.1,5.1,1.000,0.0,1.3,1.3,8.9,0.0,0.0,3.8,11.4,17.8,0.0,107,122
595,Christian Wood\woodch01,C,26,HOU,68,67,2094,10.0,20.0,.501,3.0,7.6,.390,7.0,12.3,.570,4.7,7.5,.623,2.5,13.1,15.6,3.5,1.2,1.5,2.9,3.9,27.7,0.0,114,113
596,Robert Woodard II\woodaro01,SF,22,SAC,12,0,42,2.3,18.3,.125,1.1,4.6,.250,1.1,13.7,.083,2.3,2.3,1.000,5.7,6.9,12.6,3.4,1.1,1.1,1.1,3.4,8.0,0.0,70,116
597,Delon Wright\wrighde01,SG,29,ATL,77,8,1452,4.1,9.1,.454,1.5,3.9,.379,2.6,5.2,.510,1.8,2.1,.857,1.7,5.8,7.4,6.4,3.1,0.6,1.5,1.9,11.6,0.0,126,112
598,McKinley Wright IV\wrighmc01,PG,23,MIN,5,0,19,5.0,7.5,.667,2.5,5.0,.500,2.5,2.5,1.000,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,2.5,2.5,12.5,0.0,138,121
599,Moses Wright\wrighmo01,PF,23,TOT,4,0,14,3.6,14.4,.250,0.0,3.6,.000,3.6,10.8,.333,10.8,10.8,1.000,3.6,7.2,10.8,7.2,0.0,3.6,0.0,0.0,17.9,0.0,126,109
600,Gabe York\yorkga01,SG,28,IND,2,0,21,4.7,16.3,.286,2.3,14.0,.167,2.3,2.3,1.000,7.0,11.7,.600,0.0,4.7,4.7,9.3,4.7,2.3,2.3,9.3,18.7,0.0,101,108
601,Thaddeus Young\youngth01,PF,33,TOT,52,1,845,8.2,15.8,.518,1.0,2.8,.354,7.2,13.0,.554,1.3,2.8,.469,4.6,7.4,12.1,6.0,3.1,1.0,3.0,4.7,18.7,0.0,113,108
602,Trae Young\youngtr01,PG,23,ATL,76,76,2652,13.2,28.6,.460,4.3,11.3,.382,8.9,17.3,.512,9.3,10.2,.904,0.9,4.3,5.3,13.7,1.3,0.1,5.6,2.4,39.9,0.0,119,118
603,Omer Yurtseven\yurtsom01,C,23,MIA,56,12,706,9.2,17.5,.526,0.1,0.8,.091,9.1,16.7,.547,2.7,4.3,.623,6.0,14.8,20.8,3.5,1.2,1.4,2.9,6.0,21.2,0.0,112,104
604,Cody Zeller\zelleco01,C,29,POR,27,0,355,7.0,12.4,.567,0.0,0.6,.000,7.0,11.8,.593,5.2,6.7,.776,6.9,10.3,17.2,3.0,1.1,0.8,2.6,7.7,19.3,0.0,127,116
605,Ivica Zubac\zubaciv01,C,24,LAC,76,76,1852,8.2,13.1,.626,0.0,0.0,0.0,8.2,13.1,.626,4.4,6.0,.727,5.7,11.3,17.0,3.2,1.0,2.0,3.0,5.4,20.8,0.0,126,107
